,restaurantsId,name,averageRating,establishmentTypeAndCuisineTags
8340,d5913736,Tuskers - Vegetarian Dining & Bar,4.5,Indian
8341,d21387580,Fiona,5.0,Italian Indian Bar Asian
8342,d10539996,Dashanzi,5.0,Chinese Japanese Sushi Asian
8343,d2034920,Namak,5.0,Indian
8344,d8010527,Saptami,5.0,Indian
8345,d1008614,Mabruk,5.0,Lebanese Mediterranean Middle Eastern
8346,d26582107,FUMI - East Asian Spice Trail,5.0,Chinese Japanese Sushi Asian Thai
8347,d17728654,Citrus Cafe,5.0,Italian Indian Cajun & Creole European Asian
8348,d15223662,Ummrao,5.0,Indian
8349,d804433,Kebabs & Kurries,5.0,Indian
8350,d3163674,Jyran - Tandoor Dining & Lounge,4.5,Indian
8351,d21511592,Rasoi Kitchen & Bar,5.0,Indian
8352,d19428928,Tanatan Shivaji Park,5.0,Indian
8353,d1014520,Peshawri,4.5,Indian Healthy
8354,d3268182,Nawab Saheb,5.0,Indian
8355,d6929570,By the Mekong,4.5,Asian Cantonese Szechuan Shanghai
8356,d16845556,Yeda Republic,5.0,Asian
8357,d6158439,The Brasserie,4.5,Indian International Asian
8358,d17609451,Gallery Café,5.0,Indian International Asian Healthy
8359,d5998754,Ark Bar,5.0,Bar Pub Fusion Wine Bar
8360,d1138825,Lotus Cafe,4.5,Indian Cafe International
8361,d13802904,Banjara The Restaurant,5.0,Indian Seafood Asian
8362,d1370074,Dakshin Coastal,4.5,Indian
8363,d947165,Flamboyante,4.5,Indian
8364,d5899260,Bombay High,5.0,Bar
8365,d7707818,The Bombay Canteen,4.5,Indian
8366,d1202559,It's Mirchi,4.5,Indian
8367,d4064145,The Arthouse,4.5,Indian International
8368,d1957837,Lake View Cafe,4.5,Indian Cafe International Asian
8369,d5901185,Fountain Sizzlers,4.5,Indian
8370,d5913736,Tuskers - Vegetarian Dining & Bar,4.5,Indian
8371,d21387580,Fiona,5.0,Italian Indian Bar Asian
8372,d10539996,Dashanzi,5.0,Chinese Japanese Sushi Asian
8373,d2034920,Namak,5.0,Indian
8374,d8010527,Saptami,5.0,Indian
8375,d1008614,Mabruk,5.0,Lebanese Mediterranean Middle Eastern
8376,d26582107,FUMI - East Asian Spice Trail,5.0,Chinese Japanese Sushi Asian Thai
8377,d17728654,Citrus Cafe,5.0,Italian Indian Cajun & Creole European Asian
8378,d15223662,Ummrao,5.0,Indian
8379,d804433,Kebabs & Kurries,5.0,Indian
8380,d3163674,Jyran - Tandoor Dining & Lounge,4.5,Indian
8381,d21511592,Rasoi Kitchen & Bar,5.0,Indian
8382,d19428928,Tanatan Shivaji Park,5.0,Indian
8383,d1014520,Peshawri,4.5,Indian Healthy
8384,d3268182,Nawab Saheb,5.0,Indian
8385,d6929570,By the Mekong,4.5,Asian Cantonese Szechuan Shanghai
8386,d16845556,Yeda Republic,5.0,Asian
8387,d6158439,The Brasserie,4.5,Indian International Asian
8388,d17609451,Gallery Café,5.0,Indian International Asian Healthy
8389,d5998754,Ark Bar,5.0,Bar Pub Fusion Wine Bar
