,restaurantsId,name,averageRating,establishmentTypeAndCuisineTags
8874,d5899260,Bombay High,5.0,Bar
8875,d7707818,The Bombay Canteen,4.5,Indian
8876,d1202559,It's Mirchi,4.5,Indian
8877,d4064145,The Arthouse,4.5,Indian International
8878,d1957837,Lake View Cafe,4.5,Indian Cafe International Asian
8879,d5901185,Fountain Sizzlers,4.5,Indian
8880,d5913736,Tuskers - Vegetarian Dining & Bar,4.5,Indian
8881,d21387580,Fiona,5.0,Italian Indian Bar Asian
8882,d10539996,Dashanzi,5.0,Chinese Japanese Sushi Asian
8883,d2034920,Namak,5.0,Indian
8884,d8010527,Saptami,5.0,Indian
8885,d1008614,Mabruk,5.0,Lebanese Mediterranean Middle Eastern
8886,d26582107,FUMI - East Asian Spice Trail,5.0,Chinese Japanese Sushi Asian Thai
8887,d17728654,Citrus Cafe,5.0,Italian Indian Cajun & Creole European Asian
8888,d15223662,Ummrao,5.0,Indian
8889,d804433,Kebabs & Kurries,5.0,Indian
8890,d3163674,Jyran - Tandoor Dining & Lounge,4.5,Indian
8891,d21511592,Rasoi Kitchen & Bar,5.0,Indian
8892,d19428928,Tanatan Shivaji Park,5.0,Indian
8893,d1014520,Peshawri,4.5,Indian Healthy
8894,d3268182,Nawab Saheb,5.0,Indian
8895,d6929570,By the Mekong,4.5,Asian Cantonese Szechuan Shanghai
8896,d16845556,Yeda Republic,5.0,Asian
8897,d6158439,The Brasserie,4.5,Indian International Asian
8898,d17609451,Gallery Café,5.0,Indian International Asian Healthy
8899,d5998754,Ark Bar,5.0,Bar Pub Fusion Wine Bar
8900,d1138825,Lotus Cafe,4.5,Indian Cafe International
8901,d13802904,Banjara The Restaurant,5.0,Indian Seafood Asian
8902,d1370074,Dakshin Coastal,4.5,Indian
8903,d947165,Flamboyante,4.5,Indian
8904,d5899260,Bombay High,5.0,Bar
8905,d7707818,The Bombay Canteen,4.5,Indian
8906,d1202559,It's Mirchi,4.5,Indian
8907,d4064145,The Arthouse,4.5,Indian International
8908,d1957837,Lake View Cafe,4.5,Indian Cafe International Asian
8909,d5901185,Fountain Sizzlers,4.5,Indian
8910,d5913736,Tuskers - Vegetarian Dining & Bar,4.5,Indian
8911,d21387580,Fiona,5.0,Italian Indian Bar Asian
